Frame,Timestamp (s),Error
188,31.33,1630.020
189,31.50,1731.256
190,31.67,1310.773
191,31.83,1561.233
192,32.00,1873.840
193,32.17,1826.797
194,32.33,1553.578
195,32.50,1695.760
196,32.67,1578.610
197,32.83,1437.124
198,33.00,1527.620
199,33.17,1165.623
201,33.50,1135.660
516,86.00,1278.094
517,86.17,1344.397
518,86.33,1164.250
519,86.50,1331.777
520,86.67,1613.564
521,86.83,1764.427
522,87.00,1987.478
523,87.17,1750.590
524,87.33,1353.449
525,87.50,1571.100
526,87.67,1342.119
527,87.83,1124.604
528,88.00,1145.154
529,88.17,1439.849
551,91.83,1098.273
552,92.00,1512.200
553,92.17,1768.057
554,92.33,1830.188
555,92.50,3783.002
556,92.67,3454.415
557,92.83,3173.544
558,93.00,2639.522
559,93.17,2178.888
560,93.33,2286.835
561,93.50,2045.191
562,93.67,1597.672
563,93.83,1289.817
564,94.00,1150.982
565,94.17,1139.978
566,94.33,1117.020
567,94.50,1153.542
568,94.67,1176.461
569,94.83,1139.057
665,110.83,1228.951
666,111.00,1597.842
667,111.17,1262.972
668,111.33,1149.274
669,111.50,1197.408
670,111.67,1270.685
671,111.83,1322.454
672,112.00,1422.641
673,112.17,1142.852
694,115.67,1406.311
695,115.83,2115.462
696,116.00,2248.202
697,116.17,2030.489
698,116.33,2019.324
699,116.50,2008.087
700,116.67,2073.182
701,116.83,1883.281
702,117.00,2252.729
703,117.17,2332.124
704,117.33,2227.263
705,117.50,1923.867
706,117.67,1760.005
707,117.83,2154.191
708,118.00,1855.953
709,118.17,1634.350
710,118.33,1644.040
711,118.50,1391.866
712,118.67,1107.807
713,118.83,1422.353
900,150.00,1195.378
903,150.50,1213.729
904,150.67,1327.319
905,150.83,1204.991
910,151.67,1198.557
911,151.83,1976.284
912,152.00,2025.798
913,152.17,1872.128
914,152.33,1284.391
915,152.50,1117.002
917,152.83,1181.818
918,153.00,1107.287
919,153.17,1307.629
1261,210.17,1130.546
1262,210.33,1113.823
1316,219.33,1590.729
1317,219.50,1235.759
1319,219.83,1086.114
1320,220.00,1701.761
1321,220.17,1672.380
1322,220.33,1669.825
1323,220.50,1372.894
1324,220.67,1698.228
1325,220.83,1598.333
1326,221.00,1422.037
1327,221.17,1333.384
1904,317.33,1135.565
1905,317.50,1213.092
1906,317.67,1324.792
1907,317.83,1527.137
1908,318.00,1658.532
1909,318.17,1398.254
1911,318.50,1515.974
1912,318.67,1685.755
1913,318.83,2168.645
1914,319.00,1897.396
1915,319.17,2143.874
1916,319.33,1973.142
1927,321.17,1235.526
1928,321.33,1323.504
1929,321.50,1721.315
1930,321.67,1978.201
1931,321.83,1893.390
1932,322.00,2220.143
1933,322.17,2131.987
1934,322.33,1503.149
1935,322.50,1188.190
1936,322.67,1095.910
2102,350.33,1157.052
2103,350.50,1289.327
2104,350.67,1542.890
2105,350.83,1548.068
2106,351.00,1660.648
2107,351.17,2710.800
2108,351.33,2409.666
2115,352.50,1189.077
2116,352.67,1514.815
2117,352.83,2000.642
2118,353.00,2223.571
2119,353.17,2251.834
2120,353.33,1877.765
2121,353.50,1692.890
2122,353.67,1658.855
2123,353.83,1759.915
2124,354.00,1430.712
2125,354.17,1387.946
2126,354.33,1114.753
2293,382.17,1129.785
2295,382.50,1383.105
2296,382.67,1590.299
2297,382.83,1374.738
2300,383.33,1164.387
2301,383.50,1436.011
2302,383.67,1396.423
2315,385.83,1086.703
2316,386.00,1363.781
2317,386.17,1303.334
2318,386.33,1525.101
2319,386.50,1751.273
2320,386.67,2481.515
2321,386.83,1889.794
2322,387.00,2042.164
2323,387.17,1857.743
2324,387.33,1649.386
2325,387.50,1574.511
